equipment_id,timestamp,equipment_type,location_lat,location_long,ambient_temperature_C,humidity_percent,wind_speed_mps,precipitation_mm,load_current_A,voltage_kV,smart_meter_gasp_signal,vibration_level_g,insulation_resistance_MOhm,oil_temperature_C,historical_failures_count,time_since_last_failure_days,risk_score,risk_level
EQ_0000,2024-01-01 00:00:00,Transformer,18.861663446573512,95.57071488588757,44.2797576724562,67.89267873576293,2.340279606636548,3.119890406724053,70.32926425886981,29.38675593592325,0,0.9216167670276528,7.372653200164409,41.13214718626914,5,140,0.517,Medium
EQ_0001,2024-01-01 01:00:00,CircuitBreaker,36.12738571269784,92.14083658321223,23.493564427131048,34.54599737656805,2.7510676478015075,6.0848448591907545,233.66475107128323,17.662515503337126,0,0.4722822532871607,6.506676052501415,,1,377,0.281,Low
EQ_0002,2024-01-01 02:00:00,Transformer,12.045321958909213,76.47219480752133,29.654473731747668,56.48559873736288,11.777639420895204,3.9934756431671947,229.98205344476406,21.99519335927515,0,0.1173530984439967,6.467903667112945,49.378826802801036,4,216,0.328,Low
EQ_0003,2024-01-01 03:00:00,Transformer,9.886496196573106,95.51768058034666,53.625281322982374,84.67178784931689,4.56920653760056,1.9534422801276774,289.48155927925495,17.884117330969236,0,0.22695544052492928,5.456592191001432,41.89136866133701,0,111,0.414,Medium
EQ_0004,2024-01-01 04:00:00,CircuitBreaker,34.37029166028468,75.50461946640048,41.50089137415928,44.93688608715288,7.801020317667162,10.934205586865593,114.69905943393447,32.17878494964308,0,1.173942593873616,9.455490474077703,,4,101,0.474,Medium
EQ_0005,2024-01-01 05:00:00,Relay,33.94999316240182,85.33909938552146,51.87496940092467,27.07940016415356,2.939742936287178,0.9045457782107613,163.86561576714251,16.494286821616015,1,0.44345609607214903,8.458637582367365,,1,229,0.593,Medium
EQ_0006,2024-01-01 06:00:00,Relay,18.34584647411409,76.14710078093404,36.707843326329936,31.27393799798101,12.032954711310595,1.4910128735954165,395.41042781018103,26.85060877100975,1,0.33813773822454996,1.0496990541124216,,0,388,0.624,Medium
EQ_0007,2024-01-01 07:00:00,CircuitBreaker,31.64838142519019,88.49886297158089,44.160286721639494,81.70162773487566,1.1106697760113553,7.169314570885453,90.5541708337954,29.303792498641027,1,0.953782283899959,3.9780822236738427,,2,142,0.728,High
EQ_0008,2024-01-01 08:00:00,CircuitBreaker,9.843192158294686,77.01848732975421,28.007332881069882,78.36849426704512,9.563362070328196,17.74425485152653,215.27522380668225,9.229044640334145,0,1.0842049414733428,7.847065437552077,,2,52,0.38,Low
EQ_0009,2024-01-01 09:00:00,Transformer,24.27703872951539,90.35804821868227,34.75182385457563,61.818626350559526,6.413115275378244,0.5083825348819038,87.76199944765656,6.848588013541825,1,0.9727950963324816,3.82920382968694,67.97138801405865,0,183,0.643,Medium
EQ_0010,2024-01-01 10:00:00,Switch,34.31942774385669,75.22947464531737,31.415316921425188,80.4440910834439,3.431972482374337,1.5395981965758598,151.4130085198188,10.352974755858119,1,1.3980615958967308,8.273083416079754,,0,373,0.592,Medium
EQ_0011,2024-01-01 11:00:00,Cable,26.368708938802282,93.27235711544381,47.14688307596458,34.925604710882865,13.388384977349666,10.786844838313014,332.6040543074219,30.194465097934316,0,0.5111050387092027,1.9904673207490908,,3,40,0.546,Medium
EQ_0012,2024-01-01 12:00:00,Relay,14.610119713716308,80.38612587016144,47.72059063689972,88.85844666050747,0.10428195796786055,10.214946051551316,196.09385110207265,11.996910882709717,1,0.22380478263384007,4.038536542632651,,5,316,0.709,High
