Machine_ID,Temp_C,Vibration_mm_s,Pressure_Bar,Acoustic_dB,Inspection_Duration_min,Downtime_Cost_USD,Technician_Availability_pct,Failure_Prob,Maintenance_Priority
M004,70.41563059813082,3.036377852601704,5.582561869910068,74.49467778447227,68,3112,99,0.48,2
M006,74.50966626566522,2.7878658983228126,4.916865553139811,64.0173508344714,127,522,63,0.5,2
M009,78.7249570979,2.0670991812148527,4.597600625712557,68.77238213262112,68,836,84,0.47,2
M006,76.6772582205122,1.998634580516048,5.012083076025095,76.90987208860341,142,3799,80,0.48,2
M009,53.38154538247369,3.844676120102133,5.176344769911306,84.85588608007781,88,2710,78,0.51,2
M002,70.88173845681081,3.441257854794798,5.121151137331924,62.747233918900506,66,2123,63,0.51,2
M006,64.86262008584136,2.3439602333068157,4.480456678535313,64.02963459573995,56,2179,74,0.44,2
M007,79.61696918124213,2.3168060817780747,5.13160146149838,76.49275576531213,75,3555,71,0.51,2
M008,64.61830852913066,1.6852103900295519,5.417804012559985,92.90565017621921,89,1278,50,0.5,2
M007,80.13540708163514,3.27325432131705,4.386132329197739,46.52683358786586,43,2826,56,0.51,2
M007,85.54363548387204,1.1504511518256304,5.439441167037822,81.49590689698627,74,3581,90,0.48,2
M004,75.4866873688305,2.805614361251216,4.764638295898075,78.29943213846843,49,2524,94,0.5,2
M006,62.583837802039724,2.2032267390343043,4.5160786824301935,75.59565992867293,69,787,61,0.47,2
M007,70.64169659078487,3.666887875689856,5.155748034344223,83.16855659619898,142,4130,83,0.54,1
M005,74.15740553165496,4.108305472055386,4.799929579107087,73.80259426075924,46,811,78,0.56,2
M007,86.11987713810645,0.6912529843577477,4.870076291498437,82.4978275781769,72,4174,64,0.49,1
M001,99.6573395541993,1.4280250837258208,5.782686337292325,65.6138547877375,52,4751,96,0.49,1
M002,99.67203710812493,2.5467714308408467,4.45642824988135,84.99723206256165,135,1395,52,0.62,2
M001,75.39163904361858,1.1422091047421232,4.678337802117673,58.31100870703851,44,574,75,0.41,2
M004,62.87542721150773,4.523600567542475,3.7984117037039904,57.1061350895709,112,1006,84,0.5,2
M003,63.72576943853492,3.063459954183239,4.540523390420589,68.03320601713199,40,3275,99,0.45,2
M008,77.41048477108166,1.5465810976223249,5.102034351137491,58.87067925076951,107,4981,88,0.42,1
M010,71.60085494230783,0.8301998469036529,5.569818906007016,67.43426590361638,49,3868,80,0.4,3
M001,74.63223694304551,1.1180046774068093,4.761271238276441,72.09401361997924,110,2623,60,0.45,2
M002,84.03480708540681,3.9444874889465007,5.622357288409204,65.90386615202304,123,2375,96,0.55,2
M006,58.81542166319724,1.0898589950196766,5.121173639182362,57.21866859814834,133,720,95,0.34,3
M002,80.4677935416524,4.376173413227712,4.3558971965087405,80.7867075752801,48,4801,88,0.59,1
M007,50.66097743451965,-0.07388211506442,4.833672590960864,86.15994062563227,58,4661,58,0.36,1
M006,87.10739538939086,1.1116098592283055,5.231371358352151,52.89671889763723,101,1272,56,0.46,2
M006,72.31005492696659,1.6105512507604518,5.732788192182356,83.20926830361992,38,604,88,0.46,2
M010,69.49308428469686,2.261393230743704,5.318584535350752,65.54932739204402,35,2278,64,0.47,2
M010,88.31478807397795,3.0839549948781335,5.245936606220993,60.34396251581313,116,2875,99,0.51,2
M003,93.15372684826906,2.492484635729222,5.084499830155576,58.065025591004726,105,548,97,0.5,2
M008,83.2932482392816,2.4378906700798155,4.600003452652482,58.22756252505418,135,1412,69,0.49,2
M009,78.2439997178791,1.930348565841674,4.859880307627904,96.83123216716889,84,1375,62,0.54,2
M004,62.33105528476149,1.7606493806335117,4.615319475635984,67.39897550173504,90,3440,58,0.43,2
M003,64.18580371254596,3.560813686255389,4.505918326164795,61.73135443930171,92,2479,97,0.46,2
M010,70.13242991490715,2.822466901001747,5.869727860414106,75.73029336051405,65,3027,78,0.5,2
M007,70.85541898229674,1.8953379325047843,5.6176462574252115,68.20869573694395,139,2708,67,0.46,2
